X_train,n_features,n_samples,accuracy,f1_score,roc_auc
X_train_1,6.0,152688.0,0.8000432254008174,0.7344183578493202,0.8838038244329751
X_train_2,4.0,152688.0,0.793087865451116,0.7250367714253387,0.878169077442059
X_train_3,6.0,152688.0,0.7859818715288693,0.713416238401768,0.8704786237187495
X_train_4,4.0,152688.0,0.7500130986063083,0.6588125927382591,0.829930540716979
X_train_5,55.0,152688.0,0.8547561039505397,0.8133736146291792,0.9304597108581729
X_train_6,53.0,152688.0,0.850328775018338,0.8076071491711777,0.9276425810504803
X_train_7,13.0,152688.0,0.8182699360788012,0.7600069192181284,0.9009133439262765
X_train_8,11.0,152688.0,0.8145433825840931,0.7554388661939596,0.8979141361455238
X_train_9,55.0,152688.0,0.8443820077543749,0.7991071806014695,0.9227149198068456
X_train_10,53.0,152688.0,0.8267185371476475,0.7763217963241634,0.9091954570039156
X_train_11,13.0,152688.0,0.8079744315204862,0.7458126712210008,0.8917483167675408
X_train_12,11.0,152688.0,0.7732827727129833,0.6925857184722086,0.8634694182055245
